id,genres
6kPCcIAGoTeRrh8qrmKa90,trap argentino;urbano latino;cumbia pop;trap latino
7yrTny7FLWLbfIzsxoicWj,pop argentino
4dLLdfiniBhDP9dlJQIOi4,gruperas inmortales;nu-cumbia;ranchera;musica mexicana;pop argentino;tropical
4h3i4yz7mkw1H9XG9VMkjQ,
5rQSQlZXXjMcevPGoAfE1z,pop argentino;previa
5aZ8rf2aPfZrnRWLA7bByo,trap argentino;argentine hip hop;trap latino;urbano latino;rap latina
03IpZ9yqJlo3EIgDQUgBSF,trap argentino;argentine hip hop;trap triste;trap latino;reggaeton;urbano latino
0SoBfYjQHvL6cuWHtPUYnq,cumbia pop
1btMvaVE0HLbzuyvNaPgkh,plena uruguaya
2N0hVk2Ant8751xPZUjCV2,cumbia villera;trap argentino;argentine hip hop;cumbia pop;cumbia paraguaya
1TyBUtMxdmRfXhW3MmbxtQ,trap argentino;trap triste;argentine telepop;folklore argentino;pop argentino
0EVxchTHYIgx618OrpcrdQ,urbano latino;pop argentino
42wdz3j7gstgUuhoFLCXqd,reggaeton chileno
3E8xyYdIPpiH2wNEozE68I,urbano chileno
5DSMm0BZXlSvqArsTX00Ge,trap argentino;argentine hip hop;trap triste;trap latino;urbano latino;r&b argentino
4xXvGEiTkoaIkOMWa4u3Mn,
48Pf7zioiN5Npe8EjDgoss,plena uruguaya
2RmtEc2ZNDCzAU3vH0AbKx,trap argentino;argentine hip hop;trap latino;urbano latino;r&b argentino
3KeYEr9ogMBemsOfQIJmZp,trap argentino;argentine hip hop;trap latino;bases de freestyle;urbano latino;pop argentino
5MKbWaXeSQSmzmo7gPQha1,cumbia pop;rap underground argentino
2xbH0CuDbid800YW5nMPzR,rap conciencia;argentine hip hop;argentine telepop;cumbia pop;latin viral pop;pop argentino;rap underground argentino
1db75lVrSgDFZI1gZh8JlV,trap argentino;argentine hip hop;trap triste;trap latino;urbano latino
0lY8BvO7CmINsGiG0gc8O2,plena uruguaya
6ViJgiKfyqfs52x2pGhuPF,rkt;cumbia villera;previa;cumbia pop;cuarteto
69vi5SUSJJF0CQJCZngFFS,urbano ecuatoriano
