id,genres
2ruaU00oF7QNnZl3pU6IDo,norwegian pop;norwegian pop rap
4EmH2iRucAgCOnhuJRotUi,brostep;progressive electro house;dutch edm;pop dance;house;edm;big room;slap house;trance
7jBqqJNT5aOCkuyvrd7scH,dutch hip hop
00E0Z2jrF7reoHps4zcbWQ,electro house;pop;slap house;pop nacional
2PwqZgaeEsJ1SAPF6RmMmm,dutch pop;dutch indie;dutch rock
3zkb0907pOJqU7m3Qh5hB7,dutch hip hop;pop;progressive electro house;dance pop;basshall;belgian edm;pop dance;electro house;belgian dance;dutch house;edm;big room
08tSNwcNYM9yjuYF9jFvOu,afro drill;afrobeats;nigerian pop
2NFBDZFK95swjezcgK6cfu,afrobeats;nigerian pop
1AZbs0L3SkXe625DKp37KQ,urbano mexicano
5mi7RZUIG5kxPAL0PFFtTE,irish pop
0H6ZI13dLAaARmJ3AIPzW4,irish pop
5iJMWfIWcL4fiYbK0SvkXg,hungarian hip hop;magyar trap;hungarian pop
5T7eEaieasnflXh6iPLlrK,hungarian pop
6j9BoWu8ows9OtIeSePZ9K,chinese indie rock;hong kong indie;twee pop;hong kong rock;chinese indie
1UdxSRCOnftG6I2dVBkHXH,cantopop;hk-pop
4uvnHIXK2Pk1AYjBLI5IYG,r&b francais;french hip hop;pop urbaine;rap francais
6EMR2TqTujy6ZW00ag7saG,
3jwwDoR5wW7XFsxVVa5x5D,
66BrGVswrL7ZPlumgSLRSs,finnish dance pop;finnish hip hop;finnish drill;finnish pop
1P5dnsR8u5iyEsyIuB8t4O,
2JUk53yq4ckNbdXwstAe2I,finnish dance pop;finnish hip hop;finnish pop
6NSjIm8OZLsjcJQgUdsGNr,finnish drill;finnish hip hop;finnish trap
2lvCRioElAZPAgqWCV9a1S,finnish drill
0Hc5xVRukKIIAzjM5m3O1p,suomirap;finnish drill;finnish hip hop
1FtibWDIm2kxf7zOlUcXvx,estonian hip hop;finnish pop
6yt46G7lWn0oC2FEZZDsi6,
5hYKVNA29m8lOTLQOjKExN,danish pop
2u6qnTEIn0jemEwJJW147m,danish pop
13ORFYlIGeLnai3mhgKFxZ,
6OpqjaayXiYMijD5HYDEE9,danish pop;danish hip hop
1BIlJwEG65zHLto667VpnH,german hip hop;german pop
5ubmSKu7he4u4dLW9eoLSt,german hip hop;german r&b
2cJsBA3fbleMmnlveGVBlo,frauenrap;german hip hop;german pop
5FIOk2jFbke8PgU1xh6E24,german hip hop;hamburg hip hop
3gro2tfkybWGoK9MflVLWs,german trap;german hip hop
2DynufiRAu0Nyn5TM1Cdpx,german hip hop
0bILU0UiNDmA5Ff6whhb2R,modern country pop;contemporary country
78Du4CMFgnhdlG33gblkiP,modern country pop
658Ix2xJDw8uawc2lVJa4k,russian alt pop;russian hip hop
5zY67xklnEIibnmaJHvzvk,russian grime;russian emo rap;russian hip hop
5ATI0lvKqfwKUCDax8HzYS,russian alt pop;russian hip hop
6NRJiBKCEd7Zip8gW0cYuD,russian alt pop;russian hip hop
09c1WjuWwQVaC6ylMyEmCH,russian gangster rap;russian hip hop
3Ze32iucxa6iuloBHTfmuJ,bulgarian pop;chalga
4ZXqF3KNXMeaeS6VukUKFD,bulgarian pop;chalga
1YdavvpHweXYPkKuxg40Ha,dutch pop;channel pop
5FmcqoKNe4pZqWrCVlVASl,german hip hop;bayerischer rap
0DpNn64QE2d5nDy97VoimC,south african trap;south african hip hop
1uYaQjTs4OGZznvt88iTwE,south african trap;south african hip hop
30KLjH8zu6QFz1LxbTMu6u,south african pop;south african hip hop;south african pop dance;afro soul;south african trap
6n5M2Al3QgTScpO4AZH9OI,k-pop;k-pop boy group
05zxU4ZY8mMfJJsiVH1Sjg,
0EIUssA2gv881GM16RzSQy,romanian trap
4DtQZIcQCsZx89Ur1ouilo,romanian pop
6DefzsWqnwrFrmNVnJxWkS,modern bollywood;pakistani pop;classic pakistani pop;sufi;desi pop
3xY5aYJcdvZX9xQxNd02ku,metropopolis;pop;candy pop;art pop;uk pop
3Z19t8pNaAHqlLmz2LuwNa,afrobeats;nigerian pop
6f4CAdAmrOfGH3FOfwHMSV,k-pop
0HJd4ynGL3mn0p2o6WE9DI,rome indie;italian pop;italian adult pop
1i9lZvlaDdWDPyXEE95aiq,hip hop;pop;trap;atl hip hop;r&b;southern hip hop;slap house;rap
0dAUZoRp9bKsVrFNzqz8E8,kollywood;tamil pop;filmi
7xxmW8ieHp9YnACGc0PfNz,uk pop;folk-pop;irish pop
5IhULiOyG58jL20qWkztEg,dangdut;dangdut koplo;lagu jawa;javanese dangdut
5HiMjc8jz0OeTnUQgp15FP,hungarian hip hop;hungarian pop
34oPAKE1SIIqR6mela35iL,greek trap
2lMvfEtDWH2luscLSztkMD,greek trap;greek hip hop;greek fem rap
1ucfIAu4IwIXxkl1fstUim,greek underground rap;greek drill;greek hip hop
0sazgd7qckzMWxJ6IHcRFv,french hip hop;drill francais;pop urbaine;melodic drill
1ETPrordns62g0uNKJmTre,
1ic0b3srMKuadfg4z9TSLK,danish pop;danish hip hop
55DX9YxVE5u4qUhdQWAwy2,german hip hop;german r&b
0B1rCA4jxosOrIQFDqdE8A,chill phonk;russian emo rap;russian pop
181TYnNi3wNGrdsCykmI4A,funk carioca;pop nacional
0NfP4dGLMk5WnufZOEC6aM,ghanaian hip hop;asakaa;south african hip hop;ghanaian pop;ghanaian alternative;south african trap
0VMcatJMemimNFqZsD0RDQ,south african trap;underground hip hop;south african hip hop
4rVq1URJXRKA91hdCjjn8m,chill abstract hip hop;boom bap;virginia hip hop;south african hip hop;south african trap
0Qs29ApstkrU5T8S5Hxazw,v-pop;vietnamese hip hop
7td8DTWoGC9u9db37mGHX6,v-pop;vietnamese hip hop;indie viet;vietnamese trap
40PKBUQRjtW2pUg4zv3y7r,k-pop;k-pop boy group
6Es0Sxn1yE7L0T1YxrYHKX,k-pop;k-pop boy group
52EgkN1E6pqOJ0AL2YWxfs,deep turkish pop;turkish trap;turkish pop;persian pop
1m1aNI4vjnwmrxateBIXgK,t-pop
1TwTHhkLEU4XcDRobMAUaW,rune folk;polish folk;polish indie;polish folk metal;polish pop;polish metal
2BPa0sBKlHwszAEowk8JFn,polish hip hop
4NpJZ2kGasAI9IS68nNc5Y,polish hip hop
79A1xsJMRAZzLhegAhH5CD,rome indie;italian pop;italian adult pop
4U4vgPosXiDSjR0gHQmvN2,tamil hip hop;desi hip hop;desi pop;filmi
1cPDOeVdALLjj4erFPiuqW,kollywood;modern bollywood;tamil pop;tamil hip hop;desi hip hop;filmi
6p8DwAh6wJ7S6jmpyYlBYp,modern bollywood;tamil pop;tamil hip hop;desi hip hop;filmi
4FTGTibd0V8qZOTMwx7lG7,arabic hip hop;middle east hip hop;palestinian hip hop
3W1PkgCfIPLjKguevwmyrR,estonian hip hop
1aHKrWWY5wjcAjT7etccIy,estonian hip hop;estonian pop;estonian rock
5kUn3rYvaxMzYjHThaoo5g,south african trap;south african hip hop
6dCcUEoqDOtQnfqsVxLEyS,south african trap;south african hip hop
10Cnsm4CZl9shbj5jU32As,south african trap;south african hip hop
6HmiaxYKrzq3sU2M0eFDg2,south african trap;south african hip hop
7h69br1nQFSSgdVQp6sPx6,v-pop;vietnamese hip hop;vietnamese trap
7FTIhb3oMl8SZ1XbUoKbf2,russian hip hop;russian underground rap
19FhhS93siEpzNIUG0J7Xa,cloud rap;lgbtq+ hip hop;emo rap
2KwOuFfwQyT9mZqjvchd81,k-pop;k-pop boy group
